id	name	formula	BioCyc	SEED Compound	UniPathway Compound	KEGG Compound	BioPath Molecule	MetaNetX (MNX) Chemical	Reactome	Human Metabolome Database	UM-BBD	LipidMaps	
pro__L_c	L-Proline	C5H9NO2	META:PRO	cpd00129	UPC00148	C00148;D00035	L-Proline	MNXM114	113538;352033;379717	HMDB00162			
progly_c	L-Prolinylglycine	C7H12N2O3	META:CPD0-2182	cpd15551				MNXM7481		HMDB11178			
malt_e	Maltose	C12H22O11	META:MALTOSE	cpd00179	UPC00208	C00208;D00044;G00275		MNXM165	188986;868706		c1563		
malttr_e	Maltotriose	C18H32O16	META:MALTOTRIOSE	cpd01262		C01835	Amylose3_(not_branched);Maltotriose	MNXM468	191103	HMDB01262	c1562		
starch1200_e	Starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)	C7200H12002O6001						MNXM148510					
anhgm_e	N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid	C19H29N2O12		cpd15396				MNXM3060					
nmn_c	NMN	C11H14N2O8P;C11H13N2O8P	META:NICOTINAMIDE_NUCLEOTIDE	cpd00355	UPC00455	C00455	Nicotinamide_D-ribonucleotide	MNXM355		HMDB00229;HMDB59645			
pran_c	N-(5-Phospho-D-ribosyl)anthranilate	C12H13NO9P	META:N-5-PHOSPHORIBOSYL-ANTHRANILATE	cpd02642	UPC04302	C04302	N-(5-prime-phosphoribosyl)-anthranilate	MNXM1489					
hisp_c	L-Histidinol phosphate	C6H11N3O4P	META:L-HISTIDINOL-P	cpd00807	UPC01100	C01100	L-Histidinol_phosphate	MNXM1482					
imacp_c	3-(Imidazol-4-yl)-2-oxopropyl phosphate	C6H7N2O5P;C6H8N2O5P	META:IMIDAZOLE-ACETOL-P	cpd00930	UPC01267	C01267	3-(Imidazol-4-yl)-2-oxopropyl_phosphate	MNXM1456		HMDB12236			
thdp_c	2,3,4,5-Tetrahydrodipicolinate	C7H7NO4	META:DELTA1-PIPERIDEINE-2-6-DICARBOXYLATE	cpd02465	UPC03972	C03972	delta1-Piperidine-2,6-dicarboxylate	MNXM480		HMDB12289			
acamoxm_c	N Acetyl L 2 amino 6 oxopimelate C9H11NO6	C9H11NO6											
4ppcys_c	N-((R)-4-Phosphopantothenoyl)-L-cysteine	C12H20N2O9PS;C12H19N2O9PS	META:R-4-PHOSPHOPANTOTHENOYL-L-CYSTEINE	cpd02666	UPC04352	C04352	(R)-4-prime-Phosphopantothenoyl-L-cysteine	MNXM483	196834	HMDB01117			
15dap_c	1,5-Diaminopentane	C5H16N2	META:CADAVERINE	cpd01155		C01672	Cadaverine	MNXM943		HMDB02322			
5aptn_c	5-Aminopentanoate	C5H11NO2	META:5-AMINOPENTANOATE	cpd00339	UPC00431	C00431	5-Aminopentanoate	MNXM792		HMDB03355		LMFA01100040	
5apentam_c	5-Aminopentanamide	C5H12N2O	META:5-AMINOPENTANAMIDE	cpd00729		C00990		MNXM2090		HMDB12176			
nh3_c	Ammonia	H3N	META:AMMONIA;META:AMMONIUM;META:SUBSTITUTED-AMINE	cpd03811	UPC00014	C00014;C01342;D02915;D02916	Ammonia;Ammonium-ion	MNXM15	113561;140912;2022135;29382;31633;389843	HMDB00051;HMDB41827	c1581		
glyc3p_c	Glycerol 3-phosphate	C3H7O6P	META:GLYCEROL-3P	cpd00080	UPC00093	C00093	sn-Glycerol_3-phosphate	MNXM66	188458;76114	HMDB00126;HMDB02722			
lys__L_c	L-Lysine	C6H15N2O2	META:LYS	cpd00039	UPC00047	C00047;D02304	L-Lysine	MNXM78	29444;351979;351991	HMDB00182			
dpcoa_c	Dephospho-CoA	C21H33N7O13P2S	META:DEPHOSPHO-COA	cpd00655	UPC00882	C00882	Dephospho-CoA	MNXM481	196778	HMDB01373		LMFA07050315	
5aprbu_c	5-Amino-6-(5'-phosphoribitylamino)uracil	C9H15N4O9P	META:CPD-1086	cpd02720	UPC04454	C04454		MNXM1178		HMDB03841			
5apru_c	5-Amino-6-(5'-phosphoribosylamino)uracil	C9H13N4O9P	META:CPD-602	cpd00931	UPC01268	C01268		MNXM1532					
oxptn_c	5-Oxopentanoate	C5H7O3	META:CPD-280	cpd02089	UPC03273	C03273		MNXM1410		HMDB12233		LMFA01060161	
arab__D_c	D Arabinose C5H10O5	C5H10O5	META:CPD-12047;META:CPD-12049;META:D-arabinopyranose	cpd00185	UPC00216	C00216		MNXM544					
rbl__D_c	D-Ribulose	C5H10O5	META:D-RIBULOSE	cpd00258;cpd05268		C00309;C08354	D-Ribulose	MNXM41271		HMDB00621			
arab__L_p	L-Arabinose	C5H10O5	META:L-arabinopyranose	cpd00224	UPC00259	C00259		MNXM461		HMDB00487;HMDB00646			
fe3_e	Fe3+	Fe	META:FE+3	cpd10516		C14819	Fe3+	MNXM196	111736;912516;912519;917943;917966	HMDB12943			
fe2_c	Fe2+	Fe	META:FE+2	cpd10515	UPC14818	C14818	Fe2+	MNXM111	113531;435347;71067	HMDB00692			
fmnh2_c	Reduced FMN	C17H21N4O9P	META:FMNH2	cpd01270	UPC01847	C01847	Flavinmononucleotide_(FMNH2)_(reduced,_linked_with_enzyme)	MNXM208		HMDB01142			
arg__L_p	L-Arginine	C6H15N4O2	META:ARG	cpd00051	UPC00062	C00062;D02982	L-Arginine;L-Arginine_(protonated)	MNXM70	113530;29468;351977;374064	HMDB00517			
citr__L_c	L-Citrulline	C6H13N3O3;C6H14N3O3	META:L-CITRULLINE	cpd00274	UPC00327	C00327;D07706	L-Citrulline	MNXM211	113567;29968	HMDB00904			
lys__L_e	L-Lysine	C6H15N2O2	META:LYS	cpd00039	UPC00047	C00047;D02304	L-Lysine	MNXM78	29444;351979;351991	HMDB00182			
orn_e	Ornithine	C5H13N2O2	META:L-ORNITHINE	cpd00064	UPC00077	C00077;C01602;D08302	L-Ornithine	MNXM89689	113585;113586;29498	HMDB00214;HMDB00818;HMDB04984;HMDB32455		LMFA01100057	
orn_p	Ornithine	C5H13N2O2	META:L-ORNITHINE	cpd00064	UPC00077	C00077;C01602;D08302	L-Ornithine	MNXM89689	113585;113586;29498	HMDB00214;HMDB00818;HMDB04984;HMDB32455		LMFA01100057	
argsuc_c	N(omega)-(L-Arginino)succinate	C10H17N4O6	META:L-ARGININO-SUCCINATE	cpd02152	UPC03406	C03406	N-(L-Arginino)succinate	MNXM550	34575	HMDB00052;HMDB01006			
phe__L_c	L-Phenylalanine	C9H11NO2	META:PHE	cpd00066	UPC00079	C00079;D00021	L-Phenylalanine	MNXM97	29502;351993;379701	HMDB00159;HMDB00612			
so4_c	Sulfate	O4S;SO4	META:HSO4;META:SULFATE	cpd00048	UPC00059	C00059;D05963	Sulfate;Sulfate_(protonated)	MNXM58	1606845;1609649;1614584;427648	HMDB01448			
4pasp_c	4-Phospho-L-aspartate	C4H6NO7P	META:L-BETA-ASPARTYL-P	cpd01977	UPC03082	C03082	4-Phospho-L-aspartate	MNXM1177		HMDB12250			
aspsa_c	L-Aspartate 4-semialdehyde	C4H7NO3	META:L-ASPARTATE-SEMIALDEHYDE	cpd00346	UPC00441	C00441	L-Aspartate_4-semialdehyde	MNXM361		HMDB12249			
asp__L_e	L-Aspartate	C4H6NO4	META:L-ASPARTATE	cpd00041	UPC00049	C00049;D00013	L-Aspartate	MNXM42	113553;29448	HMDB00191	c1574		
asp__L_p	L-Aspartate	C4H6NO4	META:L-ASPARTATE	cpd00041	UPC00049	C00049;D00013	L-Aspartate	MNXM42	113553;29448	HMDB00191	c1574		
cbasp_c	N-Carbamoyl-L-aspartate	C5H7N2O5;C5H6N2O5	META:CARBAMYUL-L-ASPARTATE	cpd00343	UPC00438	C00438	N-Carbamoyl-L-aspartate	MNXM465	111628	HMDB00828			
cbp_c	Carbamoyl phosphate	CH2NO5P	META:CARBAMOYL-P	cpd00146	UPC00169	C00169	Carbamoylphosphate	MNXM138	111647;29676	HMDB01096			
k_c	Potassium	K	META:K+	cpd00205		C00238;D08403		MNXM95	29804;5626313;74126	HMDB00586			
k_e	Potassium	K	META:K+	cpd00205		C00238;D08403		MNXM95	29804;5626313;74126	HMDB00586			
iasp_c	Iminoaspartate	C4H3NO4	META:IMINOASPARTATE	cpd03470	UPC05840	C05840	Iminoaspartate	MNXM599		HMDB01131		LMFA01170110	
q8_c	Ubiquinone-8	C49H74O4	META:UBIQUINONE-8	cpd15560		C17569		MNXM232				LMPR02010005	
q8h2_c	Ubiquinol-8	C49H76O4	META:CPD-9956	cpd15561				MNXM191		HMDB01060			
pro__L_e	L-Proline	C5H9NO2	META:PRO	cpd00129	UPC00148	C00148;D00035	L-Proline	MNXM114	113538;352033;379717	HMDB00162			
gthox_c	Oxidized glutathione	C20H30N6O12S2;C20H28N6O12S2	META:OXIDIZED-GLUTATHIONE	cpd00111		C00127;D00031	Glutathione_(oxidized)	MNXM151	111745;1655882;3341331	HMDB03337			
gthrd_c	Reduced glutathione	C10H15N3O6S;C10H16N3O6S						MNXM145523	1247892;158543;1655887;29450				
athr__L_c	L-Allo-threonine	C4H9NO3	META:L-ALLO-THREONINE	cpd03282	UPC05519	C05519		MNXM2125		HMDB04041			
prbatp_c	1-(5-Phosphoribosyl)-ATP	C15H19N5O20P4	META:PHOSPHORIBOSYL-ATP	cpd01775	UPC02739	C02739	Phosphoribosyl-ATP	MNXM1351		HMDB03665			
btn_c	Biotin	C10H15N2O3S	META:BIOTIN	cpd00104	UPC00120	C00120;D00029		MNXM304	199207;199238;29582	HMDB00030			
bz_c	Benzoate	C7H5O2	META:BENZOATE	cpd00153	UPC00180	C00180;C00539;D00038		MNXM217		HMDB01870	c0121		
ile__L_c	L-Isoleucine	C6H13NO2	META:ILE	cpd00322	UPC00407	C00407;D00065	L-Isoleucine	MNXM231	113537;30102	HMDB00172		LMFA01100047	
gdpmann_c	GDP-D-mannose	C16H23N5O16P2	META:GDP-MANNOSE	cpd00083	UPC00096	C00096;G10614		MNXM82	162860;744233	HMDB01163			
betald_c	Betaine aldehyde	C5H12NO	META:BETAINE_ALDEHYDE	cpd00447	UPC00576	C00576	Betaine_aldehyde	MNXM457		HMDB01252			
glyb_c	Glycine betaine	C5H11NO2	META:BETAINE	cpd00540	UPC00719	C00719;D07523	Betaine	MNXM289	352015	HMDB00043;HMDB59606			
suc6p_c	Sucrose 6-phosphate	C12H21O14P	META:CPD-15716;META:SUCROSE-6P	cpd01693	UPC02591	C02591;C16688;G10508	Sucrose_6-phosphate	MNXM1004					
cellb_e	Cellobiose	C12H22O11	META:CELLOBIOSE;META:CPD-15975	cpd00158;cpd03845		C00185;C06422;G00289	Cellobiose	MNXM776		HMDB00055			
6pgg_c	6pgg c	C12H21O14P						MNXM147389					
meoh_e	Methanol	CH4O1;CH4O	META:ALCOHOL-GROUP;META:METOH	cpd00116	UPC00132	C00132;D02309	Methanol	MNXM157		HMDB01875	c0132		
udpglcur_c	UDP-D-glucuronate	C15H19N2O18P2	META:UDP-GLUCURONATE	cpd00144	UPC00167	C00167;G10612	UDP-D-Glucuronate	MNXM87	158601;174384;1889970	HMDB00935;HMDB01384			
e4p_c	D-Erythrose 4-phosphate	C4H7O7P	META:ERYTHROSE-4P	cpd00236;cpd01994	UPC00279	C00279;C03109	D-Erythrose_4-phosphate	MNXM258	29878	HMDB01321			
bmoco_c	Bis-molybdenum cofactor	C20H20N10O13P2S4Mo	META:CPD-15874					MNXM147053					
cu2_c	Cu2+	Cu	META:CU+2	cpd00058		C00070		MNXM632	209799;437295;936901	HMDB00657			
moco_c	Molybdenum cofactor	C10H10N5O8PS2Mo						MNXM147153					
mptamp_c	Adenylated molybdopterin	C20H22N10O12P2S2Cu	META:CPD-8122			C19848		MNXM3054		HMDB12262;HMDB59628			
bmoco1gdp_c	Bis-molybdopterin mono-guanine dinucleotide	C30H32N15O20P3S4Mo						MNXM148110					
bmocogdp_c	Bis-molybdopterin guanine dinucleotide	C40H44N20O27P4S4Mo						MNXM147054					
sbzcoa_c	O-Succinylbenzoyl-CoA	C32H39N7O20P3S	META:CPD-6972	cpd02021	UPC03160	C03160		MNXM1132					
btd_RR_c	 R R  2 3 Butanediol C4H10O2	C4H10O2	META:BUTANEDIOL	cpd01947	UPC03044	C03044	(R,R)-Butane-2,3-diol	MNXM2757		HMDB33007			
dtbt_c	Dethiobiotin	C10H17N2O3	META:DETHIOBIOTIN	cpd01311	UPC01909	C01909		MNXM1020		HMDB03581			
s_c	Sulfur	S	META:Elemental-Sulfur	cpd00074	UPC00087	C00087;D00024		MNXM89					
2fe1s_c	[2Fe-1S] desulfurated iron-sulfur cluster	SFe2						MNXM147395					
2fe2s_c	[2Fe-2S] iron-sulfur cluster	S2Fe2						MNXM146115					
cala_c	N-Carbamoyl-beta-alanine	C4H7N2O3;C4H8N2O3	META:3-UREIDO-PROPIONATE	cpd01720		C02642	3-Ureidopropionate	MNXM802	73588	HMDB00026			
butpi_c	Butanoyl phosphate	C4H7O5P	META:BUTYRYL-P	cpd01662		C02527	Butyryl-phosphate	MNXM2105					
buts_c	Butanesulfonate C4H9O3S	C4H9O3S											
buts_e	Butanesulfonate C4H9O3S	C4H9O3S											
but_e	Butyrate (n-C4:0)	C4H7O2	META:BUTYRIC_ACID	cpd00211	UPC00246	C00246	Butanoate	MNXM458		HMDB00039	c0035	LMFA01010004	
but_p	Butyrate (n-C4:0)	C4H7O2	META:BUTYRIC_ACID	cpd00211	UPC00246	C00246	Butanoate	MNXM458		HMDB00039	c0035	LMFA01010004	
bz12diol_c	Cis-1,2-Dihydroxycyclohexa-3,5-diene-1-carboxylate	C7H7O4	META:CPD-290	cpd03762	UPC06321	C06321		MNXM1508			c0280		
bzal_c	Benzaldehyde	C7H6O	META:BENZALDEHYDE	cpd00225;cpd11631	UPC00261	C00193;C00261;D02314		MNXM371		HMDB06115	c0279		
bzal_p	Benzaldehyde	C7H6O	META:BENZALDEHYDE	cpd00225;cpd11631	UPC00261	C00193;C00261;D02314		MNXM371		HMDB06115	c0279		
bzal_e	Benzaldehyde	C7H6O	META:BENZALDEHYDE	cpd00225;cpd11631	UPC00261	C00193;C00261;D02314		MNXM371		HMDB06115	c0279		
catechol_c	Catechol	C6H6O2	META:CATECHOL;META:Catechols	cpd00077;cpd01232	UPC00090	C00090;C01785;C15571	Pyrocatechol	MNXM181		HMDB00957	c0097		
bz_e	Benzoate	C7H5O2	META:BENZOATE	cpd00153	UPC00180	C00180;C00539;D00038		MNXM217		HMDB01870	c0121		
3hdcoa_c	(S)-3-Hydroxydecanoyl-CoA	C31H50N7O18P3S	META:CPD0-2244	cpd03118		C05264	(S)-Hydroxydecanoyl-CoA	MNXM674	77341	HMDB03938		LMFA07050014;LMFA07050154	
3hddcoa_c	(S)-3-Hydroxydodecanoyl-CoA	C33H54N7O18P3S	META:CPD0-2107	cpd03116		C05262	(S)-3-Hydroxydodecanoyl-CoA	MNXM733	77252	HMDB03936		LMFA07050012;LMFA07050158	
3htdcoa_c	(S)-3-Hydroxytetradecanoyl-CoA	C35H58N7O18P3S	META:CPD0-2171	cpd03115		C05260	(S)-3-Hydroxytetradecanoyl-CoA	MNXM767	77276	HMDB03934		LMFA07050033;LMFA07050257	
ivcoa_c	Isovaleryl-CoA	C26H40N7O17P3S	META:ISOVALERYL-COA	cpd01882	UPC02939	C02939	3-Methylbutanoyl-CoA	MNXM471	70715	HMDB01113	c0914	LMFA07050336	
ca2_c	Calcium	Ca	META:CA+2	cpd00063		C00076	Ca2+	MNXM128	111875;74016;74112	HMDB00464			
ca2_e	Calcium	Ca	META:CA+2	cpd00063		C00076	Ca2+	MNXM128	111875;74016;74112	HMDB00464			
ca2_p	Calcium	Ca	META:CA+2	cpd00063		C00076	Ca2+	MNXM128	111875;74016;74112	HMDB00464			
fdxox_c	Oxidized ferredoxin	X;Fe8S8X						MNXM91257					
fdxrd_c	Reduced ferredoxin	XH2;Fe8S8XH2;Fe2S2X	META:Reduced-ferredoxins	cpd11620	UPC00138	C00138	Ferredoxin_(reduced)	MNXM169					
15dap_e	1,5-Diaminopentane	C5H16N2	META:CADAVERINE	cpd01155		C01672	Cadaverine	MNXM943		HMDB02322			
lys__L_p	L-Lysine	C6H15N2O2	META:LYS	cpd00039	UPC00047	C00047;D02304	L-Lysine	MNXM78	29444;351979;351991	HMDB00182			
2hmcnsad_c	2-Hydroxymuconate semialdehyde	C6H6O4	META:CPD-14965;META:HYDROXYMUCONATE-SALD	cpd00518		C00682	2-Hydroxymuconate_semialdehyde	MNXM1102				LMFA01030926;LMFA01030970	
cd2_c	Cadmium	Cd	META:CD+2	cpd01012		C01413		MNXM4505		HMDB03638			
cd2_e	Cadmium	Cd	META:CD+2	cpd01012		C01413		MNXM4505		HMDB03638			
cd2_p	Cadmium	Cd	META:CD+2	cpd01012		C01413		MNXM4505		HMDB03638			
k_p	Potassium	K	META:K+	cpd00205		C00238;D08403		MNXM95	29804;5626313;74126	HMDB00586			
cdpdddecg_c	CDP-1,2-didodecanoylglycerol	C36H63N3O15P2		cpd15417				MNXM4507					
cdpdtdecg_c	CDP-1,2-ditetradecanoylglycerol	C40H71N3O15P2		cpd15423				MNXM4512					
cdpdhdecg_c	CDP-1,2-dihexadecanoylglycerol	C44H79N3O15P2		cpd15419				MNXM3232					
cdpdhdec9eg_c	CDP-1,2-dihexadec-9-enoylglycerol	C44H75N3O15P2		cpd15418				MNXM4508					
cdpdodecg_c	CDP-1,2-dioctadecanoylglycerol	C48H87N3O15P2	META:CPD-12814	cpd15421				MNXM45856					
cdpdodec11eg_c	CDP-1,2-dioctadec-11-enoylglycerol	C48H83N3O15P2		cpd15420				MNXM4509					
flxr_c	Flavodoxin reduced	XH		cpd15465				MNXM6271					
flxso_c	Flavodoxin semi oxidized	XH						MNXM145809					
cdigmp_c	Cyclic diguanosine monophosphate	C20H22N10O14P2						MNXM148172					
5pg35pg_c	5-Phosphoguanylyl(3->5)guanosine	C20H23N10O15P2						MNXM147855					
2p4c2me_c	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H22N3O17P3	META:2-PHOSPHO-4-CYTIDINE-5-DIPHOSPHO-2-C-MET	cpd08288	UPC11436	C11436		MNXM1641					
4c2me_c	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol	C14H23N3O14P2	META:4-CYTIDINE-5-DIPHOSPHO-2-C	cpd08287	UPC11435	C11435		MNXM1642					
cdp_c	CDP	C9H12N3O11P2	META:CDP;META:CDP-GROUP	cpd00096	UPC00112	C00112	Cytidine-5-prime-diphosphate	MNXM220	110094;111809	HMDB01546			
ptd1ino160_c	Phosphatidyl 1D myo inositol	C41H78O13P						MNXM12646					
pyr_p	Pyruvate	C3H3O3	META:PYRUVATE	cpd00020	UPC00022	C00022	Pyruvate	MNXM23	113557;29398;389680	HMDB00243	c0159	LMFA01060077	
cgly_p	Cys-Gly	C5H10N2O3S	META:CYS-GLY	cpd01017		C01419	L-Cysteinylglycine	MNXM683	1247904	HMDB00078;HMDB28775			
chol_c	Choline	C5H14NO	META:CHOLINE	cpd00098	UPC00114	C00114;D07690;D10498	Choline	MNXM90	2263486;264618;264638	HMDB00097			
chols_c	Choline sulfate	C5H13NO4S	META:CPD-543	cpd00681	UPC00919	C00919		MNXM1547					
chols_e	Choline sulfate	C5H13NO4S	META:CPD-543	cpd00681	UPC00919	C00919		MNXM1547					
pphn_c	Prephenate	C10H8O6	META:PREPHENATE	cpd00219	UPC00254	C00254	Prephenate	MNXM503		HMDB12283			
3psme_c	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	C10H9O10P	META:3-ENOLPYRUVYL-SHIKIMATE-5P	cpd00932	UPC01269	C01269	5-O-(1-Carboxyvinyl)-3-phosphoshikimate	MNXM1365	964900				
cit_e	Citrate	C6H5O7	META:CIT	cpd00137	UPC00158	C00158;D00037	Citrate	MNXM131	29654;433138	HMDB00094			
mg2_c	Magnesium	Mg	META:MG+2	cpd00254		C00305	Mg2+	MNXM653	109496;114632;29926;5336432	HMDB00547			
mg2_e	Magnesium	Mg	META:MG+2	cpd00254		C00305	Mg2+	MNXM653	109496;114632;29926;5336432	HMDB00547			
mn2_c	Mn2+	Mn	META:MN+2	cpd00030		C00034;C19610		MNXM2255		HMDB01333			
mn2_e	Mn2+	Mn	META:MN+2	cpd00030		C00034;C19610		MNXM2255		HMDB01333			
ni2_c	Nickel	Ni	META:NI+2	cpd00244		C00291;C19609	Ni2+	MNXM3673		HMDB02457			
ni2_e	Nickel	Ni	META:NI+2	cpd00244		C00291;C19609	Ni2+	MNXM3673		HMDB02457			
cobalt2_c	Co2+	Co	META:CO+2	cpd00149	UPC00175	C00175;C19171	Co2+	MNXM90960		HMDB00608			
cobalt2_e	Co2+	Co	META:CO+2	cpd00149	UPC00175	C00175;C19171	Co2+	MNXM90960		HMDB00608			
zn2_c	Zinc	Zn	META:ZN+2	cpd00034		C00038		MNXM149	158417;29426;435350;437093;442320	HMDB01303			
zn2_e	Zinc	Zn	META:ZN+2	cpd00034		C00038		MNXM149	158417;29426;435350;437093;442320	HMDB01303			
succ_e	Succinate	C4H4O4	META:SUC	cpd00036	UPC00042	C00042	Succinate	MNXM25	113536;159939;29434;389583;433123	HMDB00254	c0312	LMFA01170043	
succ_p	Succinate	C4H4O4	META:SUC	cpd00036	UPC00042	C00042	Succinate	MNXM25	113536;159939;29434;389583;433123	HMDB00254	c0312	LMFA01170043	
oxa_c	Oxalate	C2O4	META:OXALATE	cpd00180	UPC00209	C00209	Oxalate	MNXM291	389819	HMDB02329	c0017		
pa120_p	1,2-didodecanoyl-sn-glycerol 3-phosphate	C27H51O8P1		cpd15521				MNXM90509					
pg120_p	Phosphatidylglycerol (didodecanoyl, n-C12:0)	C30H58O10P1		cpd15535				MNXM1771					
pa140_p	1,2-ditetradecanoyl-sn-glycerol 3-phosphate	C31H59O8P1	META:CPD0-1425	cpd15522				MNXM51017				LMGP10010026	
pg140_p	Phosphatidylglycerol (ditetradecanoyl, n-C14:0)	C34H66O10P1						MNXM1495					
pa141_p	1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate	C31H55O8P1		cpd15523				MNXM90512					
pg141_p	Phosphatidylglycerol (ditetradec-7-enoyl, n-C14:1)	C34H62O10P1						MNXM2029					
pa160_p	1,2-dihexadecanoyl-sn-glycerol 3-phosphate	C35H67O8P1	META:CPD0-1422	cpd15524				MNXM17312		HMDB00674;HMDB07857		LMGP10010012;LMGP10010027	
pa161_p	1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate	C35H63O8P1		cpd15525				MNXM90510					
pg161_p	Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)	C38H70O10P1	META:CPD0-2330	cpd15539				MNXM75101					
pg180_p	Phosphatidylglycerol (dioctadecanoyl, n-C18:0)	C42H82O10P1	META:CPD-12822	cpd15540				MNXM75102		HMDB10602		LMGP04010038	
pa181_p	1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate	C39H71O8P1		cpd15527				MNXM90511					
pg181_p	Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)	C42H78O10P1		cpd15541				MNXM1773					
fe3_c	Fe3+	Fe	META:FE+3	cpd10516		C14819	Fe3+	MNXM196	111736;912516;912519;917943;917966	HMDB12943			
csn_c	Cytosine	C4H5N3O	META:CYTOSINE	cpd00307	UPC00380	C00380	Cytosine	MNXM761		HMDB00630			
co2_e	CO2	CO2	META:CARBON-DIOXIDE	cpd00011	UPC00011	C00011;D00004	Carbon_dioxide	MNXM13	113528;1237009;159751;159942;189480;29376;389536;5668565	HMDB01967	c0131		
cobalt2_p	Co2+	Co	META:CO+2	cpd00149	UPC00175	C00175;C19171	Co2+	MNXM90960		HMDB00608			
cpmp_c	Cyclic pyranopterin monophosphate	C10H13N5O8P	META:CPD-13467			C18239		MNXM12735		HMDB59639			
cpppg3_c	Coproporphyrinogen III	C36H40N4O8	META:COPROPORPHYRINOGEN_III	cpd02083	UPC03263	C03263	Coproporphyrinogen_III	MNXM410	189411;189455	HMDB01261			
pppg9_c	Protoporphyrinogen IX	C34H38N4O4	META:PROTOPORPHYRINOGEN	cpd00791	UPC01079	C01079	Protoporphyrinogen_IX	MNXM351	189478	HMDB01097			
4crsol_c	P-Cresol	C7H8O	META:CPD-108	cpd01042		C01468		MNXM828		HMDB01858;HMDB13762	c0127		
crn_e	L-Carnitine	C7H15NO3	META:CARNITINE			C00318;D02176		MNXM173		HMDB00062;HMDB01467			
crn_p	L-Carnitine	C7H15NO3	META:CARNITINE			C00318;D02176		MNXM173		HMDB00062;HMDB01467			
gbbtn_c	Gamma-butyrobetaine	C7H15NO2	META:GAMMA-BUTYROBETAINE	cpd00870		C01181		MNXM626	31369	HMDB01161;HMDB06831			
crn__D_c	D-Carnitine	C7H15NO3	META:D-CARNITINE	cpd10719		C15025	(S)-Carnitine	MNXM246					
crn__D_p	D-Carnitine	C7H15NO3	META:D-CARNITINE	cpd10719		C15025	(S)-Carnitine	MNXM246					
gbbtn_e	Gamma-butyrobetaine	C7H15NO2	META:GAMMA-BUTYROBETAINE	cpd00870		C01181		MNXM626	31369	HMDB01161;HMDB06831			
cro4_c	Chromate	CrO4	META:CPD-4422	cpd11595				MNXM46638			c0803		
cro4_p	Chromate	CrO4	META:CPD-4422	cpd11595				MNXM46638			c0803		
ura_c	Uracil	C4H4N2O2	META:URACIL	cpd00092	UPC00106	C00106;D00027;D09776	Uracil	MNXM158	83962	HMDB00300			
spmd_c	Spermidine	C7H22N3	META:SPERMIDINE	cpd00264	UPC00315	C00315	Spermidine	MNXM124	141324;204635	HMDB01257			
tdecoa_c	Tetradecenoyl-CoA (n-C14:1CoA)	C35H56N7O17P3S		cpd15295				MNXM83848					
utp_c	UTP	C9H11N2O15P3	META:UTP	cpd00062	UPC00075	C00075	Uridine-5-prime-triphosphate	MNXM121	29494	HMDB00285			
cu_p	Cu+	Cu	META:CU+					MNXM3568					
cu2_p	Cu2+	Cu	META:CU+2	cpd00058		C00070		MNXM632	209799;437295;936901	HMDB00657			
cu2_e	Cu2+	Cu	META:CU+2	cpd00058		C00070		MNXM632	209799;437295;936901	HMDB00657			
cu_e	Cu+	Cu	META:CU+					MNXM3568					
so3_p	Sulfite	O3S;HSO3	META:H2SO3;META:HSO3;META:SO3	cpd00081	UPC00094	C00094;C11481	Hydrogen_sulfite;Sulfite	MNXM105630		HMDB00240;HMDB01033;HMDB03008;HMDB34829	c0348		
tsul_p	Thiosulfate	HS2O3;O3S2	META:S2O3	cpd00268		C00320;C05529	Thiosulfate	MNXM323	1614595	HMDB00257;HMDB60293	c0570		
q_c	Ubiquinone	C14H18O4						MNXM9201					
qh2_c	Ubiquinol	C14H20O4						MNXM9199					
mqn7_c	Menaquinone 7 C46H64O2	C46H64O2											
cys__L_p	L-Cysteine	C3H7NO2S	META:CYS	cpd00084	UPC00097	C00097;D00026	L-Cysteine	MNXM55	111707;352016;379721;5668576	HMDB00574			
o2_e	O2	O2	META:OXYGEN-MOLECULE	cpd00007	UPC00007	C00007;D00003	Oxygen	MNXM4	113533;113534;113535;113685;1236709;189461;29368;351593;352327;5668566	HMDB01377			
mercppyr_c	Mercaptopyruvate	C3H3O3S	META:3-MERCAPTO-PYRUVATE	cpd00706		C00957	3-Mercapto-pyruvate	MNXM1214		HMDB01368			
cyst__L_c	L-Cystathionine	C6H12N2O4S2;C7H14N2O4S	META:L-CYSTATHIONINE		UPC02291	C02291	L-Cystathionine	MNXM319	1614518	HMDB00099;HMDB00455;HMDB03614			
cysth__L_c	L Cystathionine C7H14N2O4S	C7H14N2O4S											
glu__L_e	L-Glutamate	C5H8NO4	META:GLT	cpd00023	UPC00025	C00025;D00007	L-Glutamate	MNXM89557	113552;29404;428614	HMDB00148			
